state_name,state_name_slug,state_code,state_code_slug,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,gender,ethnicity,religion,date_of_birth,entered_office,term_end,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Illinois,illinois,IL,il,senator,democrat,Tammy Duckworth,tammy-duckworth,Tammy,,Duckworth,,,female,asian-american,deist,3/12/1968,1/3/2017,1/3/2023,http://www.duckworth.senate.gov,https://www.duckworth.senate.gov/content/contact-senator,https://facebook.com/CongresswomanTammyDuckworth,SenDuckworth,https://twitter.com/RepDuckworth,https://cdn.civil.services/us-senate/headshots/512x512/tammy-duckworth.jpg
Indiana,indiana,IN,in,senator,republican,Mike Braun,mike-braun,Mike,,Braun,,,male,white-american,unspecified,3/24/1954,1/3/2019,1/3/2025,https://www.braun.senate.gov/,https://www.braun.senate.gov/,https://facebook.com/SenatorBraun,SenatorBraun,https://twitter.com/SenatorBraun,https://cdn.civil.services/us-senate/headshots/512x512/mike-braun.jpg
Indiana,indiana,IN,in,senator,republican,Todd Young,todd-young,Todd,,Young,,,male,white-american,christian,8/24/1972,1/3/2017,1/3/2023,http://www.young.senate.gov,https://www.young.senate.gov/content/contact-senator,https://facebook.com/ToddYoungIndiana,ToddYoungIN,https://twitter.com/ToddYoungIN,https://cdn.civil.services/us-senate/headshots/512x512/todd-young.jpg
Kansas,kansas,KS,ks,senator,republican,Jerry Moran,jerry-moran,Jerry,,Moran,,,male,white-american,methodist,5/29/1954,1/3/2011,1/3/2023,http://www.moran.senate.gov,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,https://facebook.com/jerrymoran,JerryMoran,https://twitter.com/JerryMoran,https://cdn.civil.services/us-senate/headshots/512x512/jerry-moran.jpg
Kansas,kansas,KS,ks,senator,republican,Roger Marshall,roger-marshall,Roger,W.,Marshall,,,male,white-american,unspecified,8/9/1960,1/3/2021,1/3/2027,https://www.marshall.senate.gov,https://www.marshall.senate.gov,,RogerMarshallMD,https://twitter.com/SenatorMarshall,https://cdn.civil.services/us-senate/headshots/512x512/roger-marshall.jpg
Kentucky,kentucky,KY,ky,senate-majority-leader,republican,Mitch McConnell,mitch-mcconnell,Mitch,,McConnell,,,male,white-american,southern-baptist,2/20/1942,1/3/1985,1/3/2027,http://www.mcconnell.senate.gov,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,https://facebook.com/McConnellForSenate,McConnellPress,https://twitter.com/McConnellPress,https://cdn.civil.services/us-senate/headshots/512x512/mitch-mcconnell.jpg
Kentucky,kentucky,KY,ky,senator,republican,Rand Paul,rand-paul,Rand,,Paul,,,male,white-american,presbyterian,1/7/1963,1/3/2011,1/3/2023,http://www.paul.senate.gov,https://www.paul.senate.gov/connect/email-rand,https://facebook.com/SenatorRandPaul,RandPaul,https://twitter.com/RandPaul,https://cdn.civil.services/us-senate/headshots/512x512/rand-paul.jpg
Louisiana,louisiana,LA,la,senator,republican,Bill Cassidy,bill-cassidy,Bill,,Cassidy,,,male,white-american,christian,9/28/1957,1/3/2015,1/3/2027,http://www.cassidy.senate.gov,https://www.cassidy.senate.gov/contact,https://facebook.com/billcassidy,SenBillCassidy,https://twitter.com/SenatorCassidy,https://cdn.civil.services/us-senate/headshots/512x512/bill-cassidy.jpg
Louisiana,louisiana,LA,la,senator,republican,John Kennedy,john-kennedy,John,Neely,Kennedy,,,male,white-american,methodist,11/21/1951,1/3/2017,1/3/2023,http://www.kennedy.senate.gov,https://www.kennedy.senate.gov/content/contact-senator,https://facebook.com/JohnKennedyLouisiana,JohnKennedyLA,https://twitter.com/JohnKennedyLA,https://cdn.civil.services/us-senate/headshots/512x512/john-kennedy.jpg
Massachusetts,massachusetts,MA,ma,senator,democrat,Edward Markey,edward-markey,Edward,J.,Markey,,Ed,male,white-american,roman-catholic,11/11/1946,7/16/2013,1/3/2027,http://www.markey.senate.gov,https://www.markey.senate.gov/contact,https://facebook.com/EdJMarkey,SenMarkey,https://twitter.com/SenMarkey,https://cdn.civil.services/us-senate/headshots/512x512/edward-markey.jpg
Massachusetts,massachusetts,MA,ma,senator,democrat,Elizabeth Warren,elizabeth-warren,Elizabeth,,Warren,,,female,white-american,methodist,6/22/1949,1/3/2013,1/3/2019,http://www.warren.senate.gov,https://www.warren.senate.gov/?p=email_senator,https://facebook.com/senatorelizabethwarren,SenWarren,https://twitter.com/SenWarren,https://cdn.civil.services/us-senate/headshots/512x512/elizabeth-warren.jpg
Maryland,maryland,MD,md,senator,democrat,Benjamin Cardin,benjamin-cardin,Benjamin,,Cardin,,Ben,male,white-american,jewish,10/5/1943,1/3/2007,1/3/2019,http://www.cardin.senate.gov,https://www.cardin.senate.gov/contact/,https://facebook.com/senatorbencardin,SenatorCardin,https://twitter.com/SenatorCardin,https://cdn.civil.services/us-senate/headshots/512x512/benjamin-cardin.jpg
Maryland,maryland,MD,md,senator,democrat,Chris Van Hollen,chris-van-hollen,Chris,,Van Hollen,,,male,white-american,episcopalian,1/10/1959,1/3/2017,1/3/2023,http://www.vanhollen.senate.gov,https://www.vanhollen.senate.gov/content/contact-senator,https://facebook.com/chrisvanhollen,ChrisVanHollen,https://twitter.com/ChrisVanHollen,https://cdn.civil.services/us-senate/headshots/512x512/chris-van-hollen.jpg
Maine,maine,ME,me,senator,independent,Angus King,angus-king,Angus,S.,King,Jr.,,male,white-american,episcopalian,3/31/1944,1/3/2013,1/3/2019,http://www.king.senate.gov,https://www.king.senate.gov/contact,https://facebook.com/SenatorAngusSKingJr,SenAngusKing,https://twitter.com/SenAngusKing,https://cdn.civil.services/us-senate/headshots/512x512/angus-king.jpg
Maine,maine,ME,me,senator,republican,Susan Collins,susan-collins,Susan,M.,Collins,,,female,white-american,roman-catholic,12/7/1952,1/3/1997,1/3/2027,http://www.collins.senate.gov,https://www.collins.senate.gov/contact,https://facebook.com/susancollins,senatorcollins,https://twitter.com/senatorcollins,https://cdn.civil.services/us-senate/headshots/512x512/susan-collins.jpg
Michigan,michigan,MI,mi,senator,democrat,Debbie Stabenow,debbie-stabenow,Debbie,,Stabenow,,,female,white-american,methodist,4/29/1950,1/3/2001,1/3/2019,http://www.stabenow.senate.gov,https://www.stabenow.senate.gov/?p=contact,https://facebook.com/stabenow,SenStabenow,https://twitter.com/SenStabenow,https://cdn.civil.services/us-senate/headshots/512x512/debbie-stabenow.jpg
Michigan,michigan,MI,mi,senator,democrat,Gary Peters,gary-peters,Gary,C.,Peters,,,male,white-american,episcopalian,1/1/1958,1/3/2015,1/3/2027,http://www.peters.senate.gov,https://www.peters.senate.gov/contact/email-gary,https://facebook.com/SenGaryPeters,SenGaryPeters,https://twitter.com/SenGaryPeters,https://cdn.civil.services/us-senate/headshots/512x512/gary-peters.jpg
Minnesota,minnesota,MN,mn,senator,democrat,Tina Smith,tina-smith,Tina,Flint,Smith,,,female,white-american,unspecified,3/4/1958,1/2/2018,1/3/2019,https://www.smith.senate.gov/,https://www.smith.senate.gov/content/contact-senator,https://facebook.com/USSenTinaSmith,SenTinaSmith,https://twitter.com/SenTinaSmith,https://cdn.civil.services/us-senate/headshots/512x512/tina-smith.jpg
Minnesota,minnesota,MN,mn,senator,democrat,Amy Klobuchar,amy-klobuchar,Amy,,Klobuchar,,,female,white-american,congregationalist,5/25/1960,1/3/2007,1/3/2019,http://www.klobuchar.senate.gov,https://www.klobuchar.senate.gov/public/index.cfm/email-amy,https://facebook.com/amyklobuchar,amyklobuchar,https://twitter.com/amyklobuchar,https://cdn.civil.services/us-senate/headshots/512x512/amy-klobuchar.jpg
Missouri,missouri,MO,mo,senator,republican,Josh Hawley,josh-hawley,Josh,,Hawley,,,male,white-american,unspecified,12/31/1979,1/3/2019,1/3/2025,https://www.hawley.senate.gov,https://www.hawley.senate.gov/contact-senator-hawley,https://facebook.com/SenatorHawley,HawleyMO,https://twitter.com/HawleyMO,https://cdn.civil.services/us-senate/headshots/512x512/josh-hawley.jpg
Missouri,missouri,MO,mo,senator,republican,Roy Blunt,roy-blunt,Roy,,Blunt,,,male,white-american,southern-baptist,1/10/1950,1/3/2011,1/3/2023,http://www.blunt.senate.gov,https://www.blunt.senate.gov/public/index.cfm/contact-roy,https://facebook.com/RoyForMissouri,RoyBlunt,https://twitter.com/RoyBlunt,https://cdn.civil.services/us-senate/headshots/512x512/roy-blunt.jpg
Mississippi,mississippi,MS,ms,senator,republican,Roger Wicker,roger-wicker,Roger,F.,Wicker,,,male,white-american,southern-baptist,7/5/1951,12/31/2007,1/3/2019,http://www.wicker.senate.gov,https://www.wicker.senate.gov/public/index.cfm/contact,https://facebook.com/wicker,SenatorWicker,https://twitter.com/SenatorWicker,https://cdn.civil.services/us-senate/headshots/512x512/roger-wicker.jpg
Mississippi,mississippi,MS,ms,senator,republican,Cindy Hyde-Smith,cindy-hyde-smith,Cindy,,Hyde-Smith,,,female,white-american,christian,5/10/1959,4/9/2018,1/3/2027,http://www.hydesmith.senate.gov,https://www.hydesmith.senate.gov/content/contact-senator,https://facebook.com/SenatorCindyHydeSmith,SenHydeSmith,https://twitter.com/SenHydeSmith,https://cdn.civil.services/us-senate/headshots/512x512/cindy-hyde-smith.jpg
Montana,montana,MT,mt,senator,democrat,Jon Tester,jon-tester,Jon,,Tester,,,male,white-american,church-of-god,8/21/1956,1/3/2007,1/3/2019,http://www.tester.senate.gov,https://www.tester.senate.gov/?p=email_senator,https://facebook.com/senatortester,SenatorTester,https://twitter.com/SenatorTester,https://cdn.civil.services/us-senate/headshots/512x512/jon-tester.jpg
Montana,montana,MT,mt,senator,republican,Steve Daines,steve-daines,Steve,,Daines,,,male,white-american,presbyterian,8/20/1962,1/3/2015,1/3/2027,http://www.daines.senate.gov,https://www.daines.senate.gov/connect/email-steve,https://facebook.com/SteveDainesMT,SteveDaines,https://twitter.com/SteveDaines,https://cdn.civil.services/us-senate/headshots/512x512/steve-daines.jpg
North Carolina,north-carolina,NC,nc,senator,republican,Richard Burr,richard-burr,Richard,,Burr,,,male,white-american,methodist,11/30/1955,1/3/2005,1/3/2023,http://www.burr.senate.gov,https://www.burr.senate.gov/contact/email,https://facebook.com/SenatorRichardBurr,SenatorBurr,https://twitter.com/SenatorBurr,https://cdn.civil.services/us-senate/headshots/512x512/richard-burr.jpg
North Carolina,north-carolina,NC,nc,senator,republican,Thom Tillis,thom-tillis,Thom,,Tillis,,,male,white-american,roman-catholic,8/30/1960,1/3/2015,1/3/2027,http://www.tillis.senate.gov,https://www.tillis.senate.gov/public/index.cfm/email-me,https://facebook.com/SenatorThomTillis,SenThomTillis,https://twitter.com/SenThomTillis,https://cdn.civil.services/us-senate/headshots/512x512/thom-tillis.jpg
North Dakota,north-dakota,ND,nd,senator,republican,Kevin Cramer,kevin-cramer,Kevin,,Cramer,,,male,white-american,unspecified,1/21/1961,1/3/2019,1/3/2025,https://www.cramer.senate.gov/,https://www.cramer.senate.gov/,https://facebook.com/SenatorKevinCramer,SenKevinCramer,https://twitter.com/SenKevinCramer,https://cdn.civil.services/us-senate/headshots/512x512/kevin-cramer.jpg
North Dakota,north-dakota,ND,nd,senator,republican,John Hoeven,john-hoeven,John,,Hoeven,,,male,white-american,roman-catholic,3/13/1957,1/3/2011,1/3/2023,http://www.hoeven.senate.gov,https://www.hoeven.senate.gov/public/index.cfm/email-the-senator,https://facebook.com/SenatorJohnHoeven,SenJohnHoeven,https://twitter.com/SenJohnHoeven,https://cdn.civil.services/us-senate/headshots/512x512/john-hoeven.jpg
Nebraska,nebraska,NE,ne,senator,republican,Ben Sasse,ben-sasse,Ben,,Sasse,,,male,white-american,evangelical-lutheran,2/22/1972,1/3/2015,1/3/2027,http://www.sasse.senate.gov,https://www.sasse.senate.gov/public/index.cfm/email-ben,https://facebook.com/SenatorSasse,SenSasse,https://twitter.com/SenSasse,https://cdn.civil.services/us-senate/headshots/512x512/ben-sasse.jpg
Nebraska,nebraska,NE,ne,senator,republican,Deb Fischer,deb-fischer,Deb,,Fischer,,,female,white-american,presbyterian,3/1/1951,1/3/2013,1/3/2019,http://www.fischer.senate.gov,https://www.fischer.senate.gov/public/index.cfm/contact,https://facebook.com/senatordebfischer,SenatorFischer,https://twitter.com/SenatorFischer,https://cdn.civil.services/us-senate/headshots/512x512/deb-fischer.jpg
New Hampshire,new-hampshire,NH,nh,senator,democrat,Jeanne Shaheen,jeanne-shaheen,Jeanne,,Shaheen,,,female,white-american,protestant,1/28/1947,1/3/2009,1/13/2021,http://www.shaheen.senate.gov,https://www.shaheen.senate.gov/contact/contact-jeanne,https://facebook.com/SenatorShaheen,SenatorShaheen,https://twitter.com/SenatorShaheen,https://cdn.civil.services/us-senate/headshots/512x512/jeanne-shaheen.jpg
New Hampshire,new-hampshire,NH,nh,senator,democrat,Margaret Hassan,margaret-hassan,Margaret,,Hassan,,Maggie,female,white-american,united-church-of-christ,2/27/1958,1/3/2017,1/3/2023,http://www.hassan.senate.gov,https://www.hassan.senate.gov/content/contact-senator,https://facebook.com/maggiefornh,Maggie_Hassan,https://twitter.com/Maggie_Hassan,https://cdn.civil.services/us-senate/headshots/512x512/margaret-hassan.jpg
New Jersey,new-jersey,NJ,nj,senator,democrat,Cory Booker,cory-booker,Cory,,Booker,,,male,african-american,roman-catholic,4/27/1969,10/31/2013,1/3/2027,http://www.booker.senate.gov,https://www.booker.senate.gov/?p=contact,https://facebook.com/corybooker,CoryBooker,https://twitter.com/CoryBooker,https://cdn.civil.services/us-senate/headshots/512x512/cory-booker.jpg
New Jersey,new-jersey,NJ,nj,senator,democrat,Robert Menendez,robert-menendez,Robert,,Menendez,,,male,hispanic-american,christian,1/1/1954,1/18/2006,1/3/2019,http://menendez.senate.gov,https://www.menendez.senate.gov/contact,https://facebook.com/senatormenendez,SenatorMenendez,https://twitter.com/SenatorMenendez,https://cdn.civil.services/us-senate/headshots/512x512/robert-menendez.jpg
New Mexico,new-mexico,NM,nm,senator,democrat,Martin Heinrich,martin-heinrich,Martin,,Heinrich,,,male,white-american,lutheran,10/17/1971,1/3/2013,1/3/2019,http://www.heinrich.senate.gov,https://www.heinrich.senate.gov/contact,https://facebook.com/MartinHeinrich,MartinHeinrich,https://twitter.com/MartinHeinrich,https://cdn.civil.services/us-senate/headshots/512x512/martin-heinrich.jpg
New Mexico,new-mexico,NM,nm,senator,democrat,Ben Luján,ben-lujan,Ben,Ray,Luján,,,male,hispanic-american,christian,6/7/1972,1/3/2021,1/3/2027,https://www.lujan.senate.gov,https://www.lujan.senate.gov/,https://www.facebook.com/SenatorLujan/,SenatorLujan,https://twitter.com/SenatorLujan,https://cdn.civil.services/us-senate/headshots/512x512/ben-lujan.jpg
Nevada,nevada,NV,nv,senator,democrat,Catherine Cortez-Masto,catherine-cortez-masto,Catherine,,Cortez-Masto,,,female,hispanic-american,roman-catholic,3/29/1964,1/3/2017,1/3/2023,http://www.masto.senate.gov,https://www.cortezmasto.senate.gov/content/contact-senator,https://facebook.com/catherinecortezmasto,SenCortezMasto,https://twitter.com/CatherineForNV,https://cdn.civil.services/us-senate/headshots/512x512/catherine-cortez-masto.jpg
Nevada,nevada,NV,nv,senator,democrat,Jacky Rosen,jacky-rosen,Jacky,,Rosen,,,female,white-american,unspecified,8/2/1957,1/3/2019,1/3/2025,https://www.rosen.senate.gov/,https://www.rosen.senate.gov/,https://facebook.com/SenJackyRosen,SenJackyRosen,https://twitter.com/SenJackyRosen,https://cdn.civil.services/us-senate/headshots/512x512/jacky-rosen.jpg
New York,new-york,NY,ny,senate-minority-leader,democrat,Charles Schumer,charles-schumer,Charles,E.,Schumer,,Chuck,male,white-american,jewish,11/23/1950,1/3/1999,1/3/2023,http://www.schumer.senate.gov,https://www.schumer.senate.gov/contact/email-chuck,https://facebook.com/senschumer,SenSchumer,https://twitter.com/SenSchumer,https://cdn.civil.services/us-senate/headshots/512x512/charles-schumer.jpg
New York,new-york,NY,ny,senator,democrat,Kirsten Gillibrand,kirsten-gillibrand,Kirsten,E.,Gillibrand,,,female,white-american,roman-catholic,12/9/1966,1/26/2009,1/3/2019,http://www.gillibrand.senate.gov,https://www.gillibrand.senate.gov/contact/,https://facebook.com/KirstenGillibrand,SenGillibrand,https://twitter.com/SenGillibrand,https://cdn.civil.services/us-senate/headshots/512x512/kirsten-gillibrand.jpg
Ohio,ohio,OH,oh,senator,republican,Rob Portman,rob-portman,Rob,,Portman,,,male,white-american,methodist,12/19/1955,1/3/2011,1/3/2023,http://www.portman.senate.gov,https://www.portman.senate.gov/public/index.cfm/contact?p=contact...,https://facebook.com/senrobportman,robportman,https://twitter.com/robportman,https://cdn.civil.services/us-senate/headshots/512x512/rob-portman.jpg
Ohio,ohio,OH,oh,senator,democrat,Sherrod Brown,sherrod-brown,Sherrod,,Brown,,,male,white-american,lutheran,11/9/1952,1/3/2007,1/3/2019,http://www.brown.senate.gov,https://www.brown.senate.gov/contact/,https://facebook.com/sherrod,SenSherrodBrown,https://twitter.com/SenSherrodBrown,https://cdn.civil.services/us-senate/headshots/512x512/sherrod-brown.jpg
