state_name,state_name_slug,state_code,state_code_slug,district,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,gender,ethnicity,religion,date_of_birth,entered_office,term_end,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Maryland,maryland,MD,md,4,representative,democrat,Anthony Brown,anthony-brown,Anthony,,Brown,,,male,african-american,roman-catholic,11/21/1961,1/3/2017,1/3/2023,https://anthonybrown.house.gov,https://anthonybrown.house.gov/contact,https://facebook.com/CongresswomanDonnaFEdwards,RepAnythonyBrown,https://twitter.com/housedemocrats,https://cdn.civil.services/us-house/headshots/512x512/anthony-brown.jpg
Iowa,iowa,IA,ia,1,representative,republican,Ashley Hinson,ashley-hinson,Ashley,,Hinson,,,female,white-american,christian,6/27/1983,1/3/2021,1/3/2023,https://hinson.house.gov,https://hinson.house.gov/contact,https://facebook.com/RepAshleyHinson,RepAshleyHinson,https://twitter.com/RepAshleyHinson,https://cdn.civil.services/us-house/headshots/512x512/ashley-hinson.jpg
Texas,texas,TX,tx,11,representative,republican,August Pfluger,august-pfluger,August,Lee,Pfluger,II,,male,white-american,christian,12/28/1978,1/3/2021,1/3/2023,https://pfluger.house.gov,https://pfluger.house.gov/contact,https://facebook.com/RepAugustPfluger,RepPfluger,https://twitter.com/RepPfluger,https://cdn.civil.services/us-house/headshots/512x512/august-pfluger.jpg
Georgia,georgia,GA,ga,8,representative,republican,Austin Scott,austin-scott,Austin,,Scott,,,male,white-american,southern-baptist,12/10/1969,1/5/2011,1/3/2023,https://austinscott.house.gov,https://austinscott.house.gov/contact/email,https://facebook.com/RepAustinScott,AustinScottGA08,https://twitter.com/AustinScottGA08,https://cdn.civil.services/us-house/headshots/512x512/austin-scott.jpg
Massachusetts,massachusetts,MA,ma,7,representative,democrat,Ayanna Pressley,ayanna-pressley,Ayanna,,Pressley,,,female,white-american,unspecified,2/3/1974,1/3/2019,1/3/2023,https://pressley.house.gov,https://pressley.house.gov/contact,https://facebook.com/HouseDemocrats,AyannaPressley,https://twitter.com/housedemocrats,https://cdn.civil.services/us-house/headshots/512x512/ayanna-pressley.jpg
California,california,CA,ca,13,representative,democrat,Barbara Lee,barbara-lee,Barbara,,Lee,,,female,african-american,baptist,7/16/1946,4/7/1998,1/3/2023,https://lee.house.gov,https://lee.house.gov/contact/email-me,https://facebook.com/RepBarbaraLee,RepBarbaraLee,https://twitter.com/RepBarbaraLee,https://cdn.civil.services/us-house/headshots/512x512/barbara-lee.jpg
Georgia,georgia,GA,ga,11,representative,republican,Barry Loudermilk,barry-loudermilk,Barry,,Loudermilk,,,male,white-american,baptist,12/22/1963,1/6/2015,1/3/2023,https://loudermilk.house.gov,https://loudermilk.house.gov/contact,https://facebook.com/RepLoudermilk,RepLoudermilk,https://twitter.com/RepLoudermilk,https://cdn.civil.services/us-house/headshots/512x512/barry-loudermilk.jpg
Mississippi,mississippi,MS,ms,2,representative,democrat,Bennie Thompson,bennie-thompson,Bennie,G.,Thompson,,,male,african-american,methodist,1/28/1948,4/13/1993,1/3/2023,https://benniethompson.house.gov,https://benniethompson.house.gov/contact,https://facebook.com/CongressmanBennieGThompson,BennieGThompson,https://twitter.com/BennieGThompson,https://cdn.civil.services/us-house/headshots/512x512/bennie-thompson.jpg
Texas,texas,TX,tx,24,representative,republican,Beth Van Duyne,beth-van-duyne,Beth,Ann,Van Duyne,,,female,white-american,episcopalian,11/16/1970,1/3/2021,1/3/2023,https://vanduyne.house.gov,https://vanduyne.house.gov/contact,https://facebook.com/RepBethVanDuyne,RepBethVanDuyne,https://twitter.com/RepBethVanDuyne,https://cdn.civil.services/us-house/headshots/512x512/beth-van-duyne.jpg
Minnesota,minnesota,MN,mn,4,representative,democrat,Betty McCollum,betty-mccollum,Betty,,McCollum,,,female,white-american,roman-catholic,7/12/1954,1/3/2001,1/3/2023,https://mccollum.house.gov,https://mccollum.house.gov/contact-me/email-me,https://facebook.com/repbettymccollum,BettyMcCollum04,https://twitter.com/BettyMcCollum04,https://cdn.civil.services/us-house/headshots/512x512/betty-mccollum.jpg
Illinois,illinois,IL,il,11,representative,democrat,Bill Foster,bill-foster,Bill,,Foster,,,male,white-american,unspecified,10/7/1955,3/8/2008,1/3/2023,https://foster.house.gov,https://foster.house.gov/contact/email-me,https://facebook.com/CongressmanBillFoster,RepBillFoster,https://twitter.com/RepBillFoster,https://cdn.civil.services/us-house/headshots/512x512/bill-foster.jpg
Michigan,michigan,MI,mi,2,representative,republican,Bill Huizenga,bill-huizenga,Bill,,Huizenga,,,male,white-american,christian-reformed,1/31/1969,1/5/2011,1/3/2023,https://huizenga.house.gov,https://huizenga.house.gov/contact,https://facebook.com/rephuizenga,RepHuizenga,https://twitter.com/RepHuizenga,https://cdn.civil.services/us-house/headshots/512x512/bill-huizenga.jpg
Ohio,ohio,OH,oh,6,representative,republican,Bill Johnson,bill-johnson,Bill,,Johnson,,,male,white-american,protestant,11/10/1954,1/5/2011,1/3/2023,https://billjohnson.house.gov,https://billjohnson.house.gov/contact,https://facebook.com/RepBillJohnson,RepBillJohnson,https://twitter.com/RepBillJohnson,https://cdn.civil.services/us-house/headshots/512x512/bill-johnson.jpg
New Jersey,new-jersey,NJ,nj,9,representative,democrat,Bill Pascrell,bill-pascrell,Bill,,Pascrell,Jr.,,male,white-american,roman-catholic,1/25/1937,1/7/1997,1/3/2023,https://pascrell.house.gov,https://pascrell.house.gov/contact/email-me,https://facebook.com/pascrell,BillPascrell,https://twitter.com/BillPascrell,https://cdn.civil.services/us-house/headshots/512x512/bill-pascrell.jpg
Florida,florida,FL,fl,8,representative,republican,Bill Posey,bill-posey,Bill,,Posey,,,male,white-american,methodist,12/18/1947,1/6/2009,1/3/2023,https://posey.house.gov,https://posey.house.gov/forms/writeyourrep,https://facebook.com/Congressman-Bill-Posey-101464786703,congbillposey,https://twitter.com/congbillposey,https://cdn.civil.services/us-house/headshots/512x512/bill-posey.jpg
Missouri,missouri,MO,mo,7,representative,republican,Billy Long,billy-long,Billy,,Long,,,male,white-american,presbyterian,8/11/1955,1/5/2011,1/3/2023,https://long.house.gov,https://long.house.gov/email-billy,https://facebook.com/Rep.Billy.Long,USRepLong,https://twitter.com/USRepLong,https://cdn.civil.services/us-house/headshots/512x512/billy-long.jpg
Missouri,missouri,MO,mo,3,representative,republican,Blaine Luetkemeyer,blaine-luetkemeyer,Blaine,,Luetkemeyer,,,male,white-american,roman-catholic,5/7/1952,1/6/2009,1/3/2023,https://luetkemeyer.house.gov,https://luetkemeyer.house.gov/contact,https://facebook.com/BlaineLuetkemeyer,RepBlaine,https://twitter.com/RepBlaine,https://cdn.civil.services/us-house/headshots/512x512/blaine-luetkemeyer.jpg
Utah,utah,UT,ut,1,representative,republican,Blake Moore,blake-moore,Blake,David,Moore,,,male,white-american,mormon,6/22/1980,1/3/2021,1/3/2023,https://blakemoore.house.gov,https://blakemoore.house.gov/contact,https://facebook.com/RepBlakeMoore,RepBlakeMoore,https://twitter.com/RepBlakeMoore,https://cdn.civil.services/us-house/headshots/512x512/blake-moore.jpg
Ohio,ohio,OH,oh,7,representative,republican,Bob Gibbs,bob-gibbs,Bob,,Gibbs,,,male,white-american,methodist,6/14/1954,1/5/2011,1/3/2023,https://gibbs.house.gov,https://gibbs.house.gov/contact/email,https://facebook.com/RepBobGibbs,RepBobGibbs,https://twitter.com/RepBobGibbs,https://cdn.civil.services/us-house/headshots/512x512/bob-gibbs.jpg
Illinois,illinois,IL,il,1,representative,democrat,Bobby Rush,bobby-rush,Bobby,L.,Rush,,,male,african-american,baptist,11/23/1946,1/5/1993,1/3/2023,https://rush.house.gov,https://rush.house.gov/contact/email-me,https://facebook.com/congressmanbobbyrush,RepBobbyRush,https://twitter.com/RepBobbyRush,https://cdn.civil.services/us-house/headshots/512x512/bobby-rush.jpg
New Jersey,new-jersey,NJ,nj,12,representative,democrat,Bonnie Watson Coleman,bonnie-watson-coleman,Bonnie,,Watson Coleman,,,female,african-american,baptist,2/6/1945,1/6/2015,1/3/2023,https://watsoncoleman.house.gov,https://watsoncoleman.house.gov/contact/email,https://facebook.com/RepBonnieWatsonColeman,RepBonnie,https://twitter.com/RepBonnie,https://cdn.civil.services/us-house/headshots/512x512/bonnie-watson-coleman.jpg
California,california,CA,ca,30,representative,democrat,Brad Sherman,brad-sherman,Brad,,Sherman,,,male,white-american,jewish,10/24/1954,1/7/1997,1/3/2023,https://sherman.house.gov,https://sherman.house.gov/contact/contact-congressman-sherman-form,https://facebook.com/CongressmanBradSherman,BradSherman,https://twitter.com/BradSherman,https://cdn.civil.services/us-house/headshots/512x512/brad-sherman.jpg
Ohio,ohio,OH,oh,2,representative,republican,Brad Wenstrup,brad-wenstrup,Brad,,Wenstrup,,,male,white-american,roman-catholic,6/17/1958,1/3/2013,1/3/2023,https://wenstrup.house.gov,https://wenstrup.house.gov/contact,https://facebook.com/RepBradWenstrup,RepBradWenstrup,https://twitter.com/RepBradWenstrup,https://cdn.civil.services/us-house/headshots/512x512/brad-wenstrup.jpg
Illinois,illinois,IL,il,10,representative,democrat,Bradley Schneider,bradley-schneider,Bradley,,Schneider,,Brad,male,white-american,jewish,8/20/1961,1/3/2013,1/3/2023,https://schneider.house.gov,https://schneider.house.gov/contact/email,https://facebook.com/CongressmanBradSchneider,Schneider4IL10,https://twitter.com/Schneider4IL10,https://cdn.civil.services/us-house/headshots/512x512/bradley-schneider.jpg
Michigan,michigan,MI,mi,14,representative,democrat,Brenda Lawrence,brenda-lawrence,Brenda,,Lawrence,,,female,african-american,christian,10/18/1954,1/6/2015,1/3/2023,https://lawrence.house.gov,https://lawrence.house.gov/contact/email,https://facebook.com/Rep-Brenda-Lawrence-395759603917487,RepLawrence,https://twitter.com/RepLawrence,https://cdn.civil.services/us-house/headshots/512x512/brenda-lawrence.jpg
Pennsylvania,pennsylvania,PA,pa,2,representative,democrat,Brendan Boyle,brendan-boyle,Brendan,,Boyle,,,male,white-american,roman-catholic,2/6/1977,1/6/2015,1/3/2023,https://boyle.house.gov,https://boyle.house.gov/contact/email,https://facebook.com/CongressmanBoyle,RepBrendanBoyle,https://twitter.com/RepBrendanBoyle,https://cdn.civil.services/us-house/headshots/512x512/brendan-boyle.jpg
Kentucky,kentucky,KY,ky,2,representative,republican,Brett Guthrie,brett-guthrie,Brett,S.,Guthrie,,,male,white-american,church-of-christ,2/18/1964,1/6/2009,1/3/2023,https://brettguthrieforms.house.gov,https://brettguthrieforms.house.gov/contact,https://facebook.com/CongressmanGuthrie,RepGuthrie,https://twitter.com/RepGuthrie,https://cdn.civil.services/us-house/headshots/512x512/brett-guthrie.jpg
Texas,texas,TX,tx,36,representative,republican,Brian Babin,brian-babin,Brian,,Babin,,,male,white-american,southern-baptist,3/23/1948,1/6/2015,1/3/2023,https://babin.house.gov,https://babin.house.gov/contact,https://facebook.com/RepBrianBabin,RepBrianBabin,https://twitter.com/RepBrianBabin,https://cdn.civil.services/us-house/headshots/512x512/brian-babin.jpg
Pennsylvania,pennsylvania,PA,pa,1,representative,republican,Brian Fitzpatrick,brian-fitzpatrick,Brian,,Fitzpatrick,,,male,white-american,roman-catholic,12/17/1973,1/3/2017,1/3/2023,https://brianfitzpatrick.house.gov,https://brianfitzpatrick.house.gov/contact/email,https://facebook.com/BrianFitzpatrickForCongress,BrianFitzUSA,https://twitter.com/BrianFitzUSA,https://cdn.civil.services/us-house/headshots/512x512/brian-fitzpatrick.jpg
New York,new-york,NY,ny,26,representative,democrat,Brian Higgins,brian-higgins,Brian,,Higgins,,,male,white-american,roman-catholic,10/6/1959,1/4/2005,1/3/2023,https://higgins.house.gov,higgins.house.gov/contact,https://facebook.com/RepBrianHiggins,RepBrianHiggins,https://twitter.com/RepBrianHiggins,https://cdn.civil.services/us-house/headshots/512x512/brian-higgins.jpg
Florida,florida,FL,fl,18,representative,republican,Brian Mast,brian-mast,Brian,,Mast,,,male,white-american,christian,7/10/1980,1/3/2017,1/3/2023,https://mast.house.gov,https://mast.house.gov/contact,https://facebook.com/RepBrianMast,BrianMastFL,https://twitter.com/BrianMastFL,https://cdn.civil.services/us-house/headshots/512x512/brian-mast.jpg
Arkansas,arkansas,AR,ar,4,representative,republican,Bruce Westerman,bruce-westerman,Bruce,,Westerman,,,male,white-american,southern-baptist,11/18/1967,1/6/2015,1/3/2023,https://westerman.house.gov,https://westerman.house.gov/contact,https://facebook.com/RepWesterman,RepWesterman,https://twitter.com/RepWesterman,https://cdn.civil.services/us-house/headshots/512x512/bruce-westerman.jpg
Georgia,georgia,GA,ga,1,representative,republican,Buddy Carter,buddy-carter,Buddy,,Carter,,,male,white-american,methodist,9/6/1957,1/6/2015,1/3/2023,https://buddycarter.house.gov,https://buddycarter.house.gov/contact,https://facebook.com/CongressmanBuddyCarter,RepBuddyCarter,https://twitter.com/RepBuddyCarter,https://cdn.civil.services/us-house/headshots/512x512/buddy-carter.jpg
Florida,florida,FL,fl,19,representative,republican,Byron Donalds,byron-donalds,Byron,Lowell,Donalds,,,male,african-american,christian,10/28/1972,1/3/2021,1/3/2023,https://donalds.house.gov,https://donalds.house.gov/contact,https://facebook.com/RepDonaldsPress,RepDonaldsPress,https://twitter.com/RepDonaldsPress,https://cdn.civil.services/us-house/headshots/512x512/byron-donalds.jpg
Florida,florida,FL,fl,26,representative,republican,Carlos Giménez,carlos-gimenez,Carlos,A.,Giménez,,,male,hispanic-american,catholic,1/17/1954,1/3/2021,1/3/2023,https://gimenez.house.gov,https://gimenez.house.gov/contact,https://facebook.com/RepCarlosGimenez,RepCarlos,https://twitter.com/RepCarlos,https://cdn.civil.services/us-house/headshots/512x512/carlos-gimenez.jpg
Georgia,georgia,GA,ga,7,representative,democrat,Carolyn Bourdeaux,carolyn-bourdeaux,Carolyn,,Bourdeaux,,,female,white-american,christian,6/3/1970,1/3/2021,1/3/2023,https://bourdeaux.house.gov,https://bourdeaux.house.gov/contact,https://facebook.com/RepBourdeaux,RepBourdeaux,https://twitter.com/RepBourdeaux,https://cdn.civil.services/us-house/headshots/512x512/carolyn-bourdeaux.jpg
New York,new-york,NY,ny,12,representative,democrat,Carolyn Maloney,carolyn-maloney,Carolyn,,Maloney,,,female,white-american,presbyterian,2/19/1946,1/5/1993,1/3/2023,https://maloney.house.gov,https://maloney.house.gov/services/email-me,https://facebook.com/HouseDemocrats,RepMaloney,https://twitter.com/RepMaloney,https://cdn.civil.services/us-house/headshots/512x512/carolyn-maloney.jpg
Washington,washington,WA,wa,5,representative,republican,Cathy McMorris Rodgers,cathy-mcmorris-rodgers,Cathy,,McMorris Rodgers,,,female,white-american,christian,5/22/1969,1/4/2005,1/3/2023,https://mcmorris.house.gov,https://mcmorris.house.gov/contact,https://facebook.com/mcmorrisrodgers,cathymcmorris,https://twitter.com/cathymcmorris,https://cdn.civil.services/us-house/headshots/512x512/cathy-mcmorris-rodgers.jpg
Louisiana,louisiana,LA,la,2,representative,democrat,Cedric Richmond,cedric-richmond,Cedric,,Richmond,,,male,african-american,baptist,9/13/1973,1/5/2011,1/3/2023,https://richmond.house.gov,https://richmond.house.gov/contact-cedric/email-me,https://facebook.com/RepRichmond,RepRichmond,https://twitter.com/RepRichmond,https://cdn.civil.services/us-house/headshots/512x512/cedric-richmond.jpg
Florida,florida,FL,fl,13,representative,democrat,Charlie Crist,charlie-crist,Charlie,,Crist,,,male,white-american,united-methodist,7/24/1956,1/3/2017,1/3/2023,https://crist.house.gov,https://crist.house.gov/contact/email,https://facebook.com/charliecrist,CharlieCrist,https://twitter.com/CharlieCrist,https://cdn.civil.services/us-house/headshots/512x512/charlie-crist.jpg
Maine,maine,ME,me,1,representative,democrat,Chellie Pingree,chellie-pingree,Chellie,,Pingree,,,female,white-american,lutheran,4/2/1955,1/6/2009,1/3/2023,https://pingree.house.gov,https://pingree.house.gov/contact/email-me,https://facebook.com/ChelliePingree,chelliepingree,https://twitter.com/chelliepingree,https://cdn.civil.services/us-house/headshots/512x512/chellie-pingree.jpg
Illinois,illinois,IL,il,17,representative,democrat,Cheri Bustos,cheri-bustos,Cheri,,Bustos,,,female,white-american,roman-catholic,10/17/1961,1/3/2013,1/3/2023,https://bustos.house.gov,https://bustos.house.gov/contact,https://facebook.com/RepCheri,RepCheri,https://twitter.com/RepCheri,https://cdn.civil.services/us-house/headshots/512x512/cheri-bustos.jpg
Utah,utah,UT,ut,2,representative,republican,Chris Stewart,chris-stewart,Chris,,Stewart,,,male,white-american,mormon,7/15/1960,1/3/2013,1/3/2023,https://stewart.house.gov,https://stewart.house.gov/contact/email-me,https://facebook.com/RepChrisStewart,RepChrisStewart,https://twitter.com/RepChrisStewart,https://cdn.civil.services/us-house/headshots/512x512/chris-stewart.jpg
New York,new-york,NY,ny,27,representative,republican,Christopher Jacobs,christopher-jacobs,Christopher,,Jacobs,,Chris,male,white-american,catholic,11/28/1966,7/21/2020,1/3/2023,https://jacobs.house.gov,https://jacobs.house.gov/contact,https://facebook.com/RepChrisJacobs,RepJacobs,https://twitter.com/RepJacobs,https://cdn.civil.services/us-house/headshots/512x512/christopher-jacobs.jpg
New Jersey,new-jersey,NJ,nj,4,representative,republican,Christopher Smith,christopher-smith,Christopher,,Smith,,Chris,male,white-american,roman-catholic,3/4/1953,1/5/1981,1/3/2023,https://chrissmith.house.gov,https://chrissmith.house.gov/contact/zipauth.htm,https://facebook.com/RepChrisSmith,RepChrisSmith,https://twitter.com/RepChrisSmith,https://cdn.civil.services/us-house/headshots/512x512/christopher-smith.jpg
Tennessee,tennessee,TN,tn,3,representative,republican,Chuck Fleischmann,chuck-fleischmann,Chuck,,Fleischmann,,,male,white-american,christian,10/11/1962,1/5/2011,1/3/2023,https://fleischmann.house.gov,https://fleischmann.house.gov/contact-me/email-me,https://facebook.com/repchuck,RepChuck,https://twitter.com/RepChuck,https://cdn.civil.services/us-house/headshots/512x512/chuck-fleischmann.jpg
Utah,utah,UT,ut,4,representative,republican,Clarence Owens,clarence-owens,Clarence,Burgess,Owens,,Burgess,male,african-american,mormon,8/2/1951,1/3/2021,1/3/2023,https://owens.house.gov,https://owens.house.gov/contact,https://facebook.com/CongressmanBurgessOwens,RepBurgessOwens,https://twitter.com/RepBurgessOwens,https://cdn.civil.services/us-house/headshots/512x512/clarence-owens.jpg
